model,num_docs,macro_f1_mean,macro_f1_macro_over_labels,TP_LOC,FP_LOC,FN_LOC,precision_LOC,recall_LOC,f1_LOC,TP_PER,FP_PER,FN_PER,precision_PER,recall_PER,f1_PER,TP_ORG,FP_ORG,FN_ORG,precision_ORG,recall_ORG,f1_ORG
rule_based,84,0.06375293554862596,0.059763989493749746,3151.0,88704.0,43110.0,0.034304066191279736,0.06811352975508528,0.04562831243302731,0.0,0.0,45175.0,0.0,0.0,0.0,3426.0,11124.0,33287.0,0.2354639175257732,0.09331844305831721,0.13366365604822192
flair,84,0.18115513586454587,0.19577709360975012,5907.0,9098.0,40354.0,0.3936687770743086,0.12768854975032964,0.1928312604054451,12750.0,45297.0,32425.0,0.21964959429427877,0.2822357498616491,0.2470403596132607,4117.0,15009.0,32596.0,0.21525671860294887,0.11214011385612725,0.1474596608105446
spacy,84,0.2866963856712215,0.2915285757203699,11063.0,28397.0,35198.0,0.2803598580841358,0.23914312271675925,0.2581164475449423,13619.0,35216.0,31556.0,0.27887785399815707,0.30147205312672937,0.28973513456015315,12089.0,25197.0,24624.0,0.32422356916805234,0.32928390488382864,0.3267341450560143
