filename,model,macro_f1,TP_LOC,FP_LOC,FN_LOC,precision_LOC,recall_LOC,f1_LOC,TP_PER,FP_PER,FN_PER,precision_PER,recall_PER,f1_PER,TP_ORG,FP_ORG,FN_ORG,precision_ORG,recall_ORG,f1_ORG
BR_1.S_07.09.1949.xmi,rule_based,0.04227642276422764,13,93,86,0.12264150943396226,0.13131313131313133,0.12682926829268293,0,0,74,0.0,0.0,0.0,0,23,130,0.0,0.0,0.0
BR_1.S_07.09.1949.xmi,flair,0.25118149824032177,47,49,52,0.4895833333333333,0.47474747474747475,0.48205128205128206,30,117,44,0.20408163265306123,0.40540540540540543,0.27149321266968324,0,6,130,0.0,0.0,0.0
BR_1.S_07.09.1949.xmi,spacy,0.5223719014910086,61,45,38,0.5754716981132075,0.6161616161616161,0.5951219512195122,42,54,32,0.4375,0.5675675675675675,0.4941176470588235,54,42,76,0.5625,0.4153846153846154,0.47787610619469023
BR_1000.S_12.02.2021.xmi,rule_based,0.05790382622711748,56,1199,524,0.04462151394422311,0.09655172413793103,0.06103542234332425,0,0,293,0.0,0.0,0.0,40,256,374,0.13513513513513514,0.0966183574879227,0.11267605633802819
BR_1000.S_12.02.2021.xmi,flair,0.5087244464437447,251,105,329,0.7050561797752809,0.43275862068965515,0.5363247863247863,139,108,154,0.562753036437247,0.47440273037542663,0.5148148148148148,176,151,238,0.5382262996941896,0.4251207729468599,0.4750337381916329
BR_1000.S_12.02.2021.xmi,spacy,0.6174778588477786,376,175,204,0.6823956442831216,0.6482758620689655,0.6648983200707338,146,70,147,0.6759259259259259,0.49829351535836175,0.5736738703339882,248,146,166,0.6294416243654822,0.5990338164251208,0.6138613861386139
BR_28.S_14.07.1950.xmi,rule_based,0.16666666666666666,1,1,1,0.5,0.5,0.5,0,0,0,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0
BR_28.S_14.07.1950.xmi,flair,0.2222222222222222,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
BR_28.S_14.07.1950.xmi,spacy,0.2222222222222222,1,0,1,1.0,0.5,0.6666666666666666,0,0,0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0
BR_31.S_10.08.1950.xmi,rule_based,0.3333333333333333,1,0,0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0
BR_31.S_10.08.1950.xmi,flair,0.5555555555555555,1,0,0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,1,1,0,0.5,1.0,0.6666666666666666
BR_31.S_10.08.1950.xmi,spacy,0.5555555555555555,1,0,0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,1,1,0,0.5,1.0,0.6666666666666666
BR_384.S_13.09.1972.xmi,rule_based,0.05649717514124294,5,22,27,0.18518518518518517,0.15625,0.1694915254237288,0,0,12,0.0,0.0,0.0,0,18,10,0.0,0.0,0.0
BR_384.S_13.09.1972.xmi,flair,0.3712487355288299,18,12,14,0.6,0.5625,0.5806451612903225,8,21,4,0.27586206896551724,0.6666666666666666,0.3902439024390244,1,3,9,0.25,0.1,0.14285714285714288
BR_384.S_13.09.1972.xmi,spacy,0.4268856736242885,19,13,13,0.59375,0.59375,0.59375,7,12,5,0.3684210526315789,0.5833333333333334,0.4516129032258065,2,5,8,0.2857142857142857,0.2,0.23529411764705882
BR_386.S_27.10.1972.xmi,rule_based,0.05847953216374269,10,40,54,0.2,0.15625,0.17543859649122806,0,0,41,0.0,0.0,0.0,0,25,23,0.0,0.0,0.0
BR_386.S_27.10.1972.xmi,flair,0.4124707259953162,33,25,31,0.5689655172413793,0.515625,0.5409836065573771,22,33,19,0.4,0.5365853658536586,0.45833333333333337,5,14,18,0.2631578947368421,0.21739130434782608,0.23809523809523808
BR_386.S_27.10.1972.xmi,spacy,0.502032715260017,41,23,23,0.640625,0.640625,0.640625,22,22,19,0.5,0.5365853658536586,0.5176470588235295,8,15,15,0.34782608695652173,0.34782608695652173,0.34782608695652173
BR_45.S_05.01.1951.xmi,rule_based,0.3333333333333333,1,0,0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0
BR_45.S_05.01.1951.xmi,flair,0.3333333333333333,1,0,0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0
BR_45.S_05.01.1951.xmi,spacy,0.3333333333333333,1,0,0,1.0,1.0,1.0,0,0,0,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0
NR_1.S_02.12.1930.xmi,rule_based,0.08314991440449988,1,28,17,0.034482758620689655,0.05555555555555555,0.0425531914893617,0,0,200,0.0,0.0,0.0,3,7,16,0.3,0.15789473684210525,0.20689655172413793
NR_1.S_02.12.1930.xmi,flair,0.1081477569462782,1,2,17,0.3333333333333333,0.05555555555555555,0.09523809523809525,62,279,138,0.18181818181818182,0.31,0.22920517560073939,0,2,19,0.0,0.0,0.0
NR_1.S_02.12.1930.xmi,spacy,0.2108445206131581,1,17,17,0.05555555555555555,0.05555555555555555,0.05555555555555555,69,120,131,0.36507936507936506,0.345,0.35475578406169656,4,13,15,0.23529411764705882,0.21052631578947367,0.2222222222222222
NR_1.S_04.03.1919.xmi,rule_based,0.0,0,60,40,0.0,0.0,0.0,0,0,193,0.0,0.0,0.0,0,0,61,0.0,0.0,0.0
NR_1.S_04.03.1919.xmi,flair,0.099644128113879,0,11,40,0.0,0.0,0.0,84,285,109,0.22764227642276422,0.43523316062176165,0.298932384341637,0,1,61,0.0,0.0,0.0
NR_1.S_04.03.1919.xmi,spacy,0.20996353496353495,3,31,37,0.08823529411764706,0.075,0.08108108108108107,89,138,104,0.3920704845814978,0.46113989637305697,0.4238095238095238,5,14,56,0.2631578947368421,0.08196721311475409,0.125
NR_1.S_04.11.1971.xmi,rule_based,0.05482593287471336,7,137,177,0.04861111111111111,0.03804347826086957,0.042682926829268296,0,0,545,0.0,0.0,0.0,19,31,243,0.38,0.07251908396946564,0.12179487179487179
NR_1.S_04.11.1971.xmi,flair,0.2906525542472731,4,4,180,0.5,0.021739130434782608,0.041666666666666664,271,1036,274,0.20734506503442998,0.4972477064220184,0.2926565874730021,100,10,162,0.9090909090909091,0.3816793893129771,0.5376344086021505
NR_1.S_04.11.1971.xmi,spacy,0.37919846064457025,29,143,155,0.1686046511627907,0.15760869565217392,0.16292134831460675,269,429,276,0.3853868194842407,0.4935779816513762,0.43282381335478687,123,69,139,0.640625,0.46946564885496184,0.5418502202643172
NR_1.S_04.11.1975.xmi,rule_based,0.10392049540122565,7,140,152,0.047619047619047616,0.0440251572327044,0.0457516339869281,0,0,575,0.0,0.0,0.0,54,140,158,0.27835051546391754,0.25471698113207547,0.26600985221674883
NR_1.S_04.11.1975.xmi,flair,0.15018214561358373,3,7,156,0.3,0.018867924528301886,0.03550295857988166,252,1173,323,0.17684210526315788,0.43826086956521737,0.25199999999999995,30,126,182,0.19230769230769232,0.14150943396226415,0.16304347826086957
NR_1.S_04.11.1975.xmi,spacy,0.30697156488348115,27,93,132,0.225,0.16981132075471697,0.1935483870967742,258,386,317,0.40062111801242234,0.44869565217391305,0.4232977850697293,71,184,141,0.2784313725490196,0.33490566037735847,0.30406852248394
NR_1.S_05.06.1979.xmi,rule_based,0.10518381787417319,5,124,141,0.03875968992248062,0.03424657534246575,0.03636363636363636,0,0,606,0.0,0.0,0.0,55,120,164,0.3142857142857143,0.2511415525114155,0.2791878172588832
NR_1.S_05.06.1979.xmi,flair,0.19773527506085645,3,7,143,0.3,0.02054794520547945,0.03846153846153846,283,1175,323,0.19410150891632372,0.466996699669967,0.27422480620155043,54,112,165,0.3253012048192771,0.2465753424657534,0.28051948051948056
NR_1.S_05.06.1979.xmi,spacy,0.3193601738699634,13,64,133,0.16883116883116883,0.08904109589041095,0.11659192825112108,283,412,323,0.4071942446043165,0.466996699669967,0.4350499615680246,101,177,118,0.36330935251798563,0.4611872146118721,0.40643863179074446
NR_1.S_05.11.1990.xmi,rule_based,0.04338126494404507,11,586,335,0.018425460636515914,0.031791907514450865,0.023329798515376456,0,0,581,0.0,0.0,0.0,29,166,319,0.14871794871794872,0.08333333333333333,0.10681399631675874
NR_1.S_05.11.1990.xmi,flair,0.15389512487764834,12,26,334,0.3157894736842105,0.03468208092485549,0.0625,205,778,376,0.20854526958290945,0.3528399311531842,0.26214833759590794,37,155,311,0.19270833333333334,0.10632183908045977,0.13703703703703704
NR_1.S_05.11.1990.xmi,spacy,0.2978561291899004,70,171,276,0.29045643153526973,0.2023121387283237,0.2385008517887564,206,472,375,0.30383480825958703,0.35456110154905335,0.3272438443208896,119,259,229,0.3148148148148148,0.34195402298850575,0.32782369146005513
NR_1.S_07.11.1994.xmi,rule_based,0.07175459889103067,2,374,231,0.005319148936170213,0.008583690987124463,0.006568144499178981,0,0,537,0.0,0.0,0.0,48,105,259,0.3137254901960784,0.1563517915309446,0.20869565217391303
NR_1.S_07.11.1994.xmi,flair,0.20002978316006825,8,32,225,0.2,0.034334763948497854,0.05860805860805861,214,504,323,0.298050139275766,0.3985102420856611,0.34103585657370517,45,97,262,0.31690140845070425,0.1465798045602606,0.200445434298441
NR_1.S_07.11.1994.xmi,spacy,0.33157924138316297,31,87,202,0.2627118644067797,0.13304721030042918,0.17663817663817666,231,337,306,0.40669014084507044,0.4301675977653631,0.41809954751131223,123,185,184,0.39935064935064934,0.4006514657980456,0.4
NR_1.S_08.06.1956.xmi,rule_based,0.04366532937961509,1,151,81,0.006578947368421052,0.012195121951219513,0.008547008547008546,0,0,180,0.0,0.0,0.0,6,28,58,0.17647058823529413,0.09375,0.12244897959183672
NR_1.S_08.06.1956.xmi,flair,0.06509467667023937,3,5,79,0.375,0.036585365853658534,0.06666666666666667,40,402,140,0.09049773755656108,0.2222222222222222,0.12861736334405144,0,10,64,0.0,0.0,0.0
NR_1.S_08.06.1956.xmi,spacy,0.1623556271823798,7,57,75,0.109375,0.08536585365853659,0.09589041095890412,35,135,145,0.20588235294117646,0.19444444444444445,0.19999999999999998,13,59,51,0.18055555555555555,0.203125,0.19117647058823528
NR_1.S_08.11.1949.xmi,rule_based,0.03571428571428571,0,59,59,0.0,0.0,0.0,0,0,132,0.0,0.0,0.0,3,9,41,0.25,0.06818181818181818,0.10714285714285714
NR_1.S_08.11.1949.xmi,flair,0.05813617407820306,1,5,58,0.16666666666666666,0.01694915254237288,0.030769230769230767,20,423,112,0.045146726862302484,0.15151515151515152,0.06956521739130435,2,8,42,0.2,0.045454545454545456,0.07407407407407407
NR_1.S_08.11.1949.xmi,spacy,0.12088901696624761,1,32,58,0.030303030303030304,0.01694915254237288,0.02173913043478261,15,137,117,0.09868421052631579,0.11363636363636363,0.1056338028169014,10,31,34,0.24390243902439024,0.22727272727272727,0.2352941176470588
NR_1.S_09.06.1959.xmi,rule_based,0.09177913431059065,4,161,176,0.024242424242424242,0.022222222222222223,0.023188405797101453,0,0,460,0.0,0.0,0.0,44,92,169,0.3235294117647059,0.20657276995305165,0.2521489971346705
NR_1.S_09.06.1959.xmi,flair,0.14310729385132662,2,8,178,0.2,0.011111111111111112,0.021052631578947368,213,1094,247,0.16296863045141546,0.46304347826086956,0.24108658743633277,27,83,186,0.24545454545454545,0.1267605633802817,0.1671826625386997
NR_1.S_09.06.1959.xmi,spacy,0.31708152794512273,45,114,135,0.2830188679245283,0.25,0.26548672566371684,215,398,245,0.35073409461663946,0.4673913043478261,0.40074557315936626,58,136,155,0.29896907216494845,0.27230046948356806,0.28501228501228504
