model,num_docs,macro_f1_mean,macro_f1_macro_over_labels,TP_PER,FP_PER,FN_PER,precision_PER,recall_PER,f1_PER,TP_ORG,FP_ORG,FN_ORG,precision_ORG,recall_ORG,f1_ORG
rule_based,130,0.5380777681673615,0.4032871819104269,1086.0,1888.0,2186.0,0.36516476126429054,0.3319070904645477,0.34774255523535064,326.0,67.0,702.0,0.8295165394402035,0.31712062256809337,0.45883180858550315
flair,130,0.24222810565840727,0.32708965095832887,1164.0,1738.0,2108.0,0.4011026878015162,0.35574572127139364,0.3770651117589893,290.0,775.0,738.0,0.27230046948356806,0.2821011673151751,0.27711419015766836
spacy,130,0.3987002094189818,0.37999029139984425,1379.0,1643.0,1893.0,0.4563203176704169,0.42145476772616136,0.4381951064505879,483.0,1491.0,545.0,0.24468085106382978,0.4698443579766537,0.3217854763491006
improved_spacy,130,0.40703119188426906,0.39105955781094737,1379.0,1643.0,1893.0,0.4563203176704169,0.42145476772616136,0.4381951064505879,525.0,1500.0,503.0,0.25925925925925924,0.5107003891050583,0.34392400917130683
bert,130,0.29881975267206784,0.3095569327446041,888.0,1652.0,2384.0,0.34960629921259845,0.2713936430317848,0.3055746730901583,396.0,1102.0,632.0,0.2643524699599466,0.3852140077821012,0.3135391923990499
distilbert,130,0.24259483086782013,0.27324165372479503,845.0,1777.0,2427.0,0.32227307398932115,0.25825183374083127,0.28673227010519176,313.0,1069.0,715.0,0.22648335745296672,0.3044747081712062,0.2597510373443983
