filename,model,macro_f1,TP_PER,FP_PER,FN_PER,precision_PER,recall_PER,f1_PER,TP_ORG,FP_ORG,FN_ORG,precision_ORG,recall_ORG,f1_ORG
01.02.2017_164._Sitzung.txt,rule_based,0.5057471264367817,5,12,7,0.29411764705882354,0.4166666666666667,0.3448275862068966,1,1,0,0.5,1.0,0.6666666666666666
01.02.2017_164._Sitzung.txt,flair,0.2,5,8,7,0.38461538461538464,0.4166666666666667,0.4,0,1,1,0.0,0.0,0.0
01.02.2017_164._Sitzung.txt,spacy,0.4285714285714286,6,3,6,0.6666666666666666,0.5,0.5714285714285715,1,5,0,0.16666666666666666,1.0,0.2857142857142857
01.02.2017_164._Sitzung.txt,improved_spacy,0.4285714285714286,6,3,6,0.6666666666666666,0.5,0.5714285714285715,1,5,0,0.16666666666666666,1.0,0.2857142857142857
01.02.2017_164._Sitzung.txt,bert,0.2692307692307692,7,7,5,0.5,0.5833333333333334,0.5384615384615384,0,2,1,0.0,0.0,0.0
01.02.2017_164._Sitzung.txt,distilbert,0.13043478260869565,3,8,9,0.2727272727272727,0.25,0.2608695652173913,0,2,1,0.0,0.0,0.0
01.12.2010_89._Sitzung.txt,rule_based,0.6040816326530613,10,16,13,0.38461538461538464,0.43478260869565216,0.40816326530612246,2,0,1,1.0,0.6666666666666666,0.8
01.12.2010_89._Sitzung.txt,flair,0.14634146341463414,6,12,17,0.3333333333333333,0.2608695652173913,0.2926829268292683,0,2,3,0.0,0.0,0.0
01.12.2010_89._Sitzung.txt,spacy,0.38095238095238093,9,10,14,0.47368421052631576,0.391304347826087,0.42857142857142855,2,7,1,0.2222222222222222,0.6666666666666666,0.3333333333333333
01.12.2010_89._Sitzung.txt,improved_spacy,0.38095238095238093,9,10,14,0.47368421052631576,0.391304347826087,0.42857142857142855,2,7,1,0.2222222222222222,0.6666666666666666,0.3333333333333333
01.12.2010_89._Sitzung.txt,bert,0.3062015503875969,6,14,17,0.3,0.2608695652173913,0.27906976744186046,1,2,2,0.3333333333333333,0.3333333333333333,0.3333333333333333
01.12.2010_89._Sitzung.txt,distilbert,0.12195121951219512,5,13,18,0.2777777777777778,0.21739130434782608,0.24390243902439024,0,2,3,0.0,0.0,0.0
02.03.2000_14._Sitzung.txt,rule_based,0.5686274509803921,4,4,5,0.5,0.4444444444444444,0.47058823529411764,4,0,4,1.0,0.5,0.6666666666666666
02.03.2000_14._Sitzung.txt,flair,0.39999999999999997,0,5,9,0.0,0.0,0.0,6,1,2,0.8571428571428571,0.75,0.7999999999999999
02.03.2000_14._Sitzung.txt,spacy,0.5157894736842106,3,3,6,0.5,0.3333333333333333,0.4,6,5,2,0.5454545454545454,0.75,0.631578947368421
02.03.2000_14._Sitzung.txt,improved_spacy,0.5157894736842106,3,3,6,0.5,0.3333333333333333,0.4,6,5,2,0.5454545454545454,0.75,0.631578947368421
02.03.2000_14._Sitzung.txt,bert,0.3684210526315789,0,5,9,0.0,0.0,0.0,7,4,1,0.6363636363636364,0.875,0.7368421052631579
02.03.2000_14._Sitzung.txt,distilbert,0.28571428571428575,0,4,9,0.0,0.0,0.0,4,2,4,0.6666666666666666,0.5,0.5714285714285715
02.03.2006_141._Sitzung.txt,rule_based,0.6214285714285714,9,7,3,0.5625,0.75,0.6428571428571429,3,0,4,1.0,0.42857142857142855,0.6
02.03.2006_141._Sitzung.txt,flair,0.28431372549019607,4,8,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,2,8,5,0.2,0.2857142857142857,0.23529411764705882
02.03.2006_141._Sitzung.txt,spacy,0.4380952380952381,5,8,7,0.38461538461538464,0.4166666666666667,0.4,5,9,2,0.35714285714285715,0.7142857142857143,0.4761904761904762
02.03.2006_141._Sitzung.txt,improved_spacy,0.4380952380952381,5,8,7,0.38461538461538464,0.4166666666666667,0.4,5,9,2,0.35714285714285715,0.7142857142857143,0.4761904761904762
02.03.2006_141._Sitzung.txt,bert,0.37719298245614036,4,8,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,8,3,0.3333333333333333,0.5714285714285714,0.4210526315789474
02.03.2006_141._Sitzung.txt,distilbert,0.34307992202729043,5,10,7,0.3333333333333333,0.4166666666666667,0.3703703703703704,3,9,4,0.25,0.42857142857142855,0.3157894736842105
02.04.2020_21._Sitzung.txt,rule_based,0.2126582278481013,1,41,36,0.023809523809523808,0.02702702702702703,0.02531645569620253,1,1,2,0.5,0.3333333333333333,0.4
02.04.2020_21._Sitzung.txt,flair,0.0,0,35,37,0.0,0.0,0.0,0,0,3,0.0,0.0,0.0
02.04.2020_21._Sitzung.txt,spacy,0.08333333333333333,0,39,37,0.0,0.0,0.0,1,8,2,0.1111111111111111,0.3333333333333333,0.16666666666666666
02.04.2020_21._Sitzung.txt,improved_spacy,0.08333333333333333,0,39,37,0.0,0.0,0.0,1,8,2,0.1111111111111111,0.3333333333333333,0.16666666666666666
02.04.2020_21._Sitzung.txt,bert,0.1111111111111111,0,8,37,0.0,0.0,0.0,1,5,2,0.16666666666666666,0.3333333333333333,0.2222222222222222
02.04.2020_21._Sitzung.txt,distilbert,0.0,0,9,37,0.0,0.0,0.0,0,5,3,0.0,0.0,0.0
03.04.2013_197._Sitzung.txt,rule_based,0.7061224489795919,15,10,9,0.6,0.625,0.6122448979591836,2,0,1,1.0,0.6666666666666666,0.8
03.04.2013_197._Sitzung.txt,flair,0.30434782608695654,14,8,10,0.6363636363636364,0.5833333333333334,0.6086956521739131,0,3,3,0.0,0.0,0.0
03.04.2013_197._Sitzung.txt,spacy,0.5155038759689923,15,4,9,0.7894736842105263,0.625,0.6976744186046512,2,7,1,0.2222222222222222,0.6666666666666666,0.3333333333333333
03.04.2013_197._Sitzung.txt,improved_spacy,0.5155038759689923,15,4,9,0.7894736842105263,0.625,0.6976744186046512,2,7,1,0.2222222222222222,0.6666666666666666,0.3333333333333333
03.04.2013_197._Sitzung.txt,bert,0.30952380952380953,10,8,14,0.5555555555555556,0.4166666666666667,0.4761904761904762,1,10,2,0.09090909090909091,0.3333333333333333,0.14285714285714288
03.04.2013_197._Sitzung.txt,distilbert,0.3623693379790941,9,8,15,0.5294117647058824,0.375,0.4390243902439025,1,3,2,0.25,0.3333333333333333,0.28571428571428575
03.05.2007_23._Sitzung.txt,rule_based,0.5588235294117647,1,9,6,0.1,0.14285714285714285,0.11764705882352941,2,0,0,1.0,1.0,1.0
03.05.2007_23._Sitzung.txt,flair,0.0,0,7,7,0.0,0.0,0.0,0,2,2,0.0,0.0,0.0
03.05.2007_23._Sitzung.txt,spacy,0.5210084033613446,4,6,3,0.4,0.5714285714285714,0.47058823529411764,2,3,0,0.4,1.0,0.5714285714285715
03.05.2007_23._Sitzung.txt,improved_spacy,0.5210084033613446,4,6,3,0.4,0.5714285714285714,0.47058823529411764,2,3,0,0.4,1.0,0.5714285714285715
03.05.2007_23._Sitzung.txt,bert,0.11111111111111112,0,9,7,0.0,0.0,0.0,1,6,1,0.14285714285714285,0.5,0.22222222222222224
03.05.2007_23._Sitzung.txt,distilbert,0.16666666666666666,0,9,7,0.0,0.0,0.0,1,3,1,0.25,0.5,0.3333333333333333
03.07.2013_214._Sitzung.txt,rule_based,0.45959595959595956,10,7,9,0.5882352941176471,0.5263157894736842,0.5555555555555555,2,0,7,1.0,0.2222222222222222,0.3636363636363636
03.07.2013_214._Sitzung.txt,flair,0.5650623885918004,7,7,12,0.5,0.3684210526315789,0.4242424242424242,6,2,3,0.75,0.6666666666666666,0.7058823529411765
03.07.2013_214._Sitzung.txt,spacy,0.41711229946524064,8,7,11,0.5333333333333333,0.42105263157894735,0.47058823529411764,4,9,5,0.3076923076923077,0.4444444444444444,0.3636363636363637
03.07.2013_214._Sitzung.txt,improved_spacy,0.41711229946524064,8,7,11,0.5333333333333333,0.42105263157894735,0.47058823529411764,4,9,5,0.3076923076923077,0.4444444444444444,0.3636363636363637
03.07.2013_214._Sitzung.txt,bert,0.3482142857142857,8,1,11,0.8888888888888888,0.42105263157894735,0.5714285714285714,1,6,8,0.14285714285714285,0.1111111111111111,0.125
03.07.2013_214._Sitzung.txt,distilbert,0.33836206896551724,8,2,11,0.8,0.42105263157894735,0.5517241379310345,1,6,8,0.14285714285714285,0.1111111111111111,0.125
05.07.2007_29._Sitzung.txt,rule_based,0.8478260869565217,16,8,6,0.6666666666666666,0.7272727272727273,0.6956521739130435,2,0,0,1.0,1.0,1.0
05.07.2007_29._Sitzung.txt,flair,0.3023255813953489,13,8,9,0.6190476190476191,0.5909090909090909,0.6046511627906977,0,0,2,0.0,0.0,0.0
05.07.2007_29._Sitzung.txt,spacy,0.6594202898550725,15,9,7,0.625,0.6818181818181818,0.6521739130434783,2,2,0,0.5,1.0,0.6666666666666666
05.07.2007_29._Sitzung.txt,improved_spacy,0.6594202898550725,15,9,7,0.625,0.6818181818181818,0.6521739130434783,2,2,0,0.5,1.0,0.6666666666666666
05.07.2007_29._Sitzung.txt,bert,0.627177700348432,14,5,8,0.7368421052631579,0.6363636363636364,0.6829268292682926,2,3,0,0.4,1.0,0.5714285714285715
05.07.2007_29._Sitzung.txt,distilbert,0.7682926829268293,11,8,11,0.5789473684210527,0.5,0.5365853658536586,2,0,0,1.0,1.0,1.0
05.11.2020_61._Sitzung.txt,rule_based,0.18285714285714288,2,24,22,0.07692307692307693,0.08333333333333333,0.08,1,1,4,0.5,0.2,0.28571428571428575
05.11.2020_61._Sitzung.txt,flair,0.04545454545454545,2,18,22,0.1,0.08333333333333333,0.0909090909090909,0,3,5,0.0,0.0,0.0
05.11.2020_61._Sitzung.txt,spacy,0.10230179028132992,2,20,22,0.09090909090909091,0.08333333333333333,0.08695652173913043,1,11,4,0.08333333333333333,0.2,0.11764705882352941
05.11.2020_61._Sitzung.txt,improved_spacy,0.10230179028132992,2,20,22,0.09090909090909091,0.08333333333333333,0.08695652173913043,1,11,4,0.08333333333333333,0.2,0.11764705882352941
