model,num_docs,macro_f1_mean,macro_f1_macro_over_labels,TP_PER,FP_PER,FN_PER,precision_PER,recall_PER,f1_PER,TP_ORG,FP_ORG,FN_ORG,precision_ORG,recall_ORG,f1_ORG
rule_based,130,0.5897947833138006,0.46359442319688904,1585.0,4598.0,3298.0,0.25634805110787645,0.3245955355314356,0.28646303994216527,1589.0,537.0,1245.0,0.7474129821260583,0.5606916019760056,0.6407258064516128
flair,130,0.22840834756912437,0.33486051887829227,1811.0,2678.0,3072.0,0.40343060815326354,0.3708785582633627,0.38647033717456253,657.0,1148.0,2177.0,0.36398891966759,0.23182780522230065,0.28325070058202195
spacy,130,0.398920751864716,0.40003513307572136,2158.0,2292.0,2725.0,0.4849438202247191,0.44194142944910914,0.46244508732454725,1062.0,2395.0,1772.0,0.30720277697425513,0.37473535638673255,0.3376251788268955
improved_spacy,130,0.42350374924602857,0.47070107561636176,2158.0,2292.0,2725.0,0.4849438202247191,0.44194142944910914,0.46244508732454725,1690.0,2533.0,1144.0,0.4001894387875918,0.5963302752293578,0.4789570639081763
bert,130,0.2736917531086111,0.30984893910351496,1442.0,2462.0,3441.0,0.36936475409836067,0.2953102600860127,0.32821213155798334,772.0,1691.0,2062.0,0.31343889565570443,0.27240649258997884,0.29148574664904664
distilbert,130,0.2188589257391239,0.2777616646870312,1399.0,2589.0,3484.0,0.350802407221665,0.28650419823878764,0.3154097621463195,592.0,1505.0,2242.0,0.28230805913209345,0.20889202540578689,0.24011356722774285
